,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
135,6000,3,2,4,1,0,0,0,1,0,0,3,5775000
136,5400,4,2,2,1,0,0,0,1,2,0,3,5740000
137,4640,4,1,2,1,0,0,0,0,1,0,2,5740000
138,5000,3,1,3,1,0,0,0,1,0,0,2,5740000
139,6360,3,1,1,1,1,1,0,1,2,1,1,5740000
140,5800,3,2,4,1,0,0,0,1,0,0,3,5740000
141,6660,4,2,2,1,1,1,0,0,1,1,2,5652500
142,10500,4,2,2,1,0,0,0,0,1,0,2,5600000
144,4700,4,1,2,1,1,1,0,1,1,0,1,5600000
145,5000,3,1,4,1,0,0,0,0,0,0,1,5600000
146,10500,2,1,1,1,0,0,0,0,1,0,2,5600000
147,5500,3,2,2,1,0,0,0,0,1,0,2,5600000
148,6360,3,1,3,1,0,0,0,0,0,1,2,5600000
149,6600,4,2,1,1,0,1,0,0,0,1,2,5600000
150,5136,3,1,2,1,1,1,0,1,0,1,3,5600000
151,4400,4,1,2,1,0,0,0,1,2,1,2,5565000
153,3300,3,3,2,1,0,1,0,0,0,0,2,5530000
154,3650,3,2,2,1,0,0,0,0,2,0,2,5530000
155,6100,3,2,1,1,0,1,0,0,2,1,1,5530000
156,6900,3,1,1,1,1,1,0,0,0,1,2,5523000
157,2817,4,2,2,0,1,1,0,0,1,0,1,5495000
158,7980,3,1,1,1,0,0,0,0,2,0,2,5495000
159,3150,3,2,1,1,1,1,0,1,0,0,1,5460000
160,6210,4,1,4,1,1,0,0,1,0,0,1,5460000
161,6100,3,1,3,1,1,0,0,1,0,1,2,5460000
162,6600,4,2,2,1,1,1,0,0,0,1,2,5460000
163,6825,3,1,1,1,1,1,0,1,0,1,2,5425000
164,6710,3,2,2,1,1,1,0,0,1,1,1,5390000
165,6450,3,2,1,1,1,1,1,0,0,0,3,5383000
166,7800,3,1,1,1,0,1,0,1,2,1,3,5320000
167,4600,2,2,1,1,0,0,0,1,2,0,2,5285000
168,4260,4,1,2,1,0,1,0,1,0,0,1,5250000
169,6540,4,2,2,0,0,0,0,1,0,0,2,5250000
170,5500,3,2,1,1,0,1,0,0,0,0,2,5250000
171,10269,3,1,1,1,0,0,0,0,1,1,2,5250000
172,8400,3,1,2,1,1,1,0,1,2,1,3,5250000
173,5300,4,2,1,1,0,0,0,1,0,1,3,5250000
174,3800,3,1,2,1,1,1,0,0,1,1,3,5250000
175,9800,4,2,2,1,1,0,0,0,2,0,2,5250000
176,8520,3,1,1,1,0,0,0,1,2,0,1,5250000
177,6050,3,1,1,1,0,1,0,0,0,1,2,5243000
178,7085,3,1,1,1,1,1,0,0,2,1,2,5229000
179,3180,3,2,2,1,0,0,0,0,2,0,2,5215000
180,4500,4,2,1,0,0,1,0,1,2,0,2,5215000
181,7200,3,1,2,1,1,1,0,0,1,1,1,5215000
182,3410,3,1,2,0,0,0,0,1,0,0,2,5145000
183,7980,3,1,1,1,0,0,0,0,1,1,2,5145000
184,3000,3,2,2,1,1,1,0,0,0,0,1,5110000
185,3000,3,1,2,1,0,1,0,0,0,0,3,5110000
186,11410,2,1,2,1,0,0,0,0,0,1,1,5110000
187,6100,3,1,1,1,0,1,0,1,0,1,2,5110000
188,5720,2,1,2,1,0,0,0,1,0,1,3,5075000
189,3540,2,1,1,0,1,1,0,0,0,0,2,5040000
190,7600,4,1,2,1,0,0,0,1,2,0,1,5040000
191,10700,3,1,2,1,1,1,0,0,0,0,2,5040000
192,6600,3,1,1,1,1,1,0,0,0,1,1,5040000
193,4800,2,1,1,1,1,1,0,0,0,0,2,5033000
194,8150,3,2,1,1,1,1,0,0,0,0,2,5005000
195,4410,4,3,2,1,0,1,0,0,2,0,2,4970000
196,7686,3,1,1,1,1,1,1,0,0,0,2,4970000
197,2800,3,2,2,0,0,1,0,1,1,0,2,4956000
198,5948,3,1,2,1,0,0,0,1,0,0,2,4935000
199,4200,3,1,2,1,0,0,0,0,1,0,1,4907000
200,4520,3,1,2,1,0,1,0,1,0,0,2,4900000
201,4095,3,1,2,0,1,1,0,1,0,0,2,4900000
202,4120,2,1,1,1,0,1,0,0,1,0,2,4900000
203,5400,4,1,2,1,0,0,0,0,0,0,2,4900000
204,4770,3,1,1,1,1,1,0,0,0,0,2,4900000
205,6300,3,1,1,1,0,0,0,1,2,0,2,4900000
206,5800,2,1,1,1,1,1,0,1,0,0,2,4900000
207,3000,3,1,2,1,0,1,0,1,0,0,2,4900000
208,2970,3,1,3,1,0,0,0,0,0,0,2,4900000
209,6720,3,1,1,1,0,0,0,0,0,0,3,4900000
210,4646,3,1,2,1,1,1,0,0,2,0,2,4900000
211,12900,3,1,1,1,0,0,0,0,2,0,1,4900000
212,3420,4,2,2,1,0,1,0,1,2,0,2,4893000
213,4995,4,2,1,1,0,1,0,0,0,0,2,4893000
214,4350,2,1,1,1,0,1,0,0,0,0,3,4865000
215,4160,3,1,3,1,0,0,0,0,0,0,3,4830000
216,6040,3,1,1,1,0,0,0,0,2,1,2,4830000
217,6862,3,1,2,1,0,0,0,1,2,1,1,4830000
218,4815,2,1,1,1,0,0,0,1,0,1,2,4830000
219,7000,3,1,2,1,0,1,0,0,0,0,3,4795000
220,8100,4,1,4,1,0,1,0,1,2,0,2,4795000
221,3420,4,2,2,1,0,0,0,0,0,0,2,4767000
222,9166,2,1,1,1,0,1,0,1,2,0,2,4760000
223,6321,3,1,2,1,0,1,0,1,1,0,1,4760000
224,10240,2,1,1,1,0,0,0,1,2,1,3,4760000
225,6440,2,1,1,1,0,0,0,1,3,0,2,4753000
226,5170,3,1,4,1,0,0,0,1,0,0,2,4690000
227,6000,2,1,1,1,0,1,0,1,1,0,1,4690000
228,3630,3,1,2,1,0,0,0,0,2,0,2,4690000
229,9667,4,2,2,1,1,1,0,0,1,0,2,4690000
230,5400,2,1,2,1,0,0,0,0,0,1,2,4690000
231,4320,3,1,1,1,0,0,0,0,0,1,2,4690000
232,3745,3,1,2,1,0,1,0,0,0,0,1,4655000
233,4160,3,1,1,1,1,1,0,1,0,0,3,4620000
234,3880,3,2,2,1,0,1,0,0,2,0,2,4620000
235,5680,3,1,2,1,1,0,0,1,1,0,2,4620000
236,2870,2,1,2,1,1,1,0,0,0,1,2,4620000
237,5010,3,1,2,1,0,1,0,0,0,0,2,4620000
238,4510,4,2,2,1,0,1,0,0,0,0,2,4613000
239,4000,3,1,2,1,0,0,0,0,1,0,1,4585000
240,3840,3,1,2,1,0,0,0,0,1,1,2,4585000
241,3760,3,1,1,1,0,0,0,0,2,0,2,4550000
242,3640,3,1,2,1,0,0,0,1,0,0,1,4550000
243,2550,3,1,2,1,0,1,0,0,0,0,1,4550000
244,5320,3,1,2,1,1,1,0,0,0,1,2,4550000
245,5360,3,1,2,1,0,0,0,0,2,1,3,4550000
246,3520,3,1,1,1,0,0,0,0,0,1,2,4550000
247,8400,4,1,4,1,0,0,0,0,3,0,3,4550000
248,4100,2,2,1,1,1,1,0,0,0,0,2,4543000
249,4990,4,2,2,1,1,1,0,0,0,1,1,4543000
250,3510,3,1,3,1,0,0,0,0,0,0,2,4515000
251,3450,3,1,2,1,0,1,0,0,1,0,2,4515000
252,9860,3,1,1,1,0,0,0,0,0,0,2,4515000
253,3520,2,1,2,1,0,0,0,0,0,1,1,4515000
254,4510,4,1,2,1,0,0,0,1,2,0,2,4480000
255,5885,2,1,1,1,0,0,0,1,1,0,3,4480000
256,4000,3,1,2,1,0,0,0,0,2,0,1,4480000
257,8250,3,1,1,1,0,0,0,0,0,0,1,4480000
258,4040,3,1,2,1,0,0,0,0,1,0,2,4480000
259,6360,2,1,1,1,0,1,0,1,1,0,1,4473000
260,3162,3,1,2,1,0,0,0,1,1,0,1,4473000
261,3510,3,1,2,1,0,0,0,0,0,0,2,4473000
262,3750,2,1,1,1,1,1,0,0,0,0,2,4445000
263,3968,3,1,2,0,0,0,0,0,0,0,2,4410000
264,4900,2,1,2,1,0,1,0,0,0,0,2,4410000
265,2880,3,1,2,1,0,0,0,0,0,1,2,4403000
266,4880,3,1,1,1,0,0,0,0,2,1,3,4403000
267,4920,3,1,2,1,0,0,0,0,1,0,2,4403000
268,4950,4,1,2,1,0,0,0,1,0,0,2,4382000
269,3900,3,1,2,1,0,0,0,0,0,0,3,4375000
270,4500,3,2,3,1,0,0,1,0,1,0,1,4340000
271,1905,5,1,2,0,0,1,0,0,0,0,2,4340000
272,4075,3,1,1,1,1,1,0,0,2,0,2,4340000
273,3500,4,1,2,1,0,0,0,0,2,0,1,4340000
274,6450,4,1,2,1,0,0,0,0,0,0,2,4340000
275,4032,2,1,1,1,0,1,0,0,0,0,1,4319000
276,4400,2,1,1,1,0,0,0,0,1,0,2,4305000
277,10360,2,1,1,1,0,0,0,0,1,1,2,4305000
278,3400,3,1,2,1,0,1,0,0,2,1,2,4277000
279,6360,2,1,1,1,0,0,0,0,0,0,1,4270000
280,6360,2,1,2,1,0,0,0,0,0,0,3,4270000
281,4500,2,1,1,1,0,0,0,1,2,0,1,4270000
282,2175,3,1,2,0,1,1,0,1,0,0,3,4270000
283,4360,4,1,2,1,0,0,0,0,0,0,1,4270000
284,7770,2,1,1,1,0,0,0,0,1,0,1,4270000
285,6650,3,1,2,1,1,0,0,0,0,0,2,4235000
286,2787,3,1,1,1,0,1,0,0,0,1,1,4235000
287,5500,3,1,2,1,0,0,0,1,0,0,3,4200000
288,5040,3,1,2,1,0,1,0,1,0,0,3,4200000
289,5850,2,1,1,1,1,1,0,0,2,0,2,4200000
290,2610,4,3,2,0,0,0,0,0,0,0,2,4200000
291,2953,3,1,2,1,0,1,0,1,0,0,3,4200000
292,2747,4,2,2,0,0,0,0,0,0,0,2,4200000
293,4410,2,1,1,0,0,0,0,0,1,0,3,4200000
294,4000,4,2,2,0,0,0,0,0,0,0,2,4200000
295,2325,3,1,2,0,0,0,0,0,0,0,2,4200000
296,4600,3,2,2,1,0,0,0,1,1,0,2,4200000
297,3640,3,2,2,1,0,1,0,0,0,0,3,4200000
298,5800,3,1,1,1,0,0,1,0,2,0,2,4200000
299,7000,3,1,1,1,0,0,0,0,3,0,1,4200000
300,4079,3,1,3,1,0,0,0,0,0,0,2,4200000
301,3520,3,1,2,1,0,0,0,0,0,1,2,4200000
302,2145,3,1,3,1,0,0,0,0,1,1,3,4200000
303,4500,3,1,1,1,0,1,0,0,0,0,1,4200000
304,8250,3,1,1,1,0,1,0,0,3,0,2,4193000
305,3450,3,1,2,1,0,0,0,0,1,0,2,4193000
306,4840,3,1,2,1,0,0,0,0,1,0,2,4165000
307,4080,3,1,2,1,0,0,0,0,2,0,2,4165000
308,4046,3,1,2,1,0,1,0,0,1,0,2,4165000
309,4632,4,1,2,1,0,0,0,1,0,0,2,4130000
310,5985,3,1,1,1,0,1,0,0,0,0,2,4130000
311,6060,2,1,1,1,0,1,0,0,1,0,2,4123000
312,3600,3,1,1,1,0,1,0,1,0,1,1,4098500
313,3680,3,2,2,1,0,0,0,0,0,0,2,4095000
314,4040,2,1,2,1,0,0,0,0,1,0,2,4095000
315,5600,2,1,1,1,0,0,0,1,0,0,2,4095000
316,5900,4,2,2,0,0,1,0,0,1,0,3,4060000
317,4992,3,2,2,1,0,0,0,0,2,0,3,4060000
318,4340,3,1,1,1,0,0,0,0,0,0,2,4060000
319,3000,4,1,3,1,0,1,0,1,2,0,2,4060000
320,4320,3,1,2,1,0,0,0,0,2,1,1,4060000
321,3630,3,2,2,1,0,0,1,0,2,0,2,4025000
322,3460,3,2,1,1,0,1,0,1,1,0,1,4025000
323,5400,3,1,1,1,0,0,0,0,3,0,2,4025000
324,4500,3,1,2,0,0,1,0,1,0,0,2,4007500
325,3460,4,1,2,1,0,0,0,1,0,0,2,4007500
326,4100,4,1,1,0,0,1,0,0,0,0,3,3990000
327,6480,3,1,2,0,0,0,0,1,1,0,2,3990000
328,4500,3,2,2,0,0,1,0,1,0,0,2,3990000
329,3960,3,1,2,1,0,0,0,0,0,0,1,3990000
330,4050,2,1,2,1,1,1,0,0,0,1,3,3990000
331,7260,3,2,1,1,1,1,0,0,3,0,1,3920000
332,5500,4,1,2,1,1,1,0,0,0,0,2,3920000
333,3000,3,1,2,1,0,0,0,0,0,0,2,3920000
334,3290,2,1,1,1,0,0,1,0,1,0,1,3920000
335,3816,2,1,1,1,0,1,0,1,2,0,1,3920000
336,8080,3,1,1,1,0,0,0,1,2,0,2,3920000
337,2145,4,2,1,1,0,1,0,0,0,1,3,3920000
338,3780,2,1,2,1,1,1,0,0,0,0,2,3885000
339,3180,4,2,2,1,0,0,0,0,0,0,1,3885000
341,3180,2,2,1,1,0,1,0,0,2,0,2,3850000
342,7152,3,1,2,1,0,0,0,1,0,0,1,3850000
343,4080,2,1,1,1,0,0,0,0,0,0,2,3850000
344,3850,2,1,1,1,0,0,0,0,0,0,2,3850000
345,2015,3,1,2,1,0,1,0,0,0,1,2,3850000
346,2176,2,1,2,1,1,0,0,0,0,1,2,3850000
347,3350,3,1,2,1,0,0,0,0,0,0,3,3836000
348,3150,2,2,1,0,0,1,0,0,0,0,2,3815000
349,4820,3,1,2,1,0,0,0,0,0,0,2,3780000
350,3420,2,1,2,1,0,0,1,0,1,0,2,3780000
351,3600,2,1,1,1,0,0,0,0,0,0,2,3780000
352,5830,2,1,1,1,0,0,0,0,2,0,3,3780000
353,2856,3,1,3,1,0,0,0,0,0,1,1,3780000
354,8400,2,1,1,1,0,0,0,0,1,0,1,3780000
355,8250,3,1,1,1,0,0,0,0,2,0,1,3773000
356,2520,5,2,1,0,0,1,0,1,1,0,1,3773000
357,6930,4,1,2,0,0,0,0,0,1,0,1,3773000
358,3480,2,1,1,1,0,0,0,0,0,1,2,3745000
359,3600,3,1,1,1,0,0,0,0,1,0,3,3710000
360,4040,2,1,1,1,0,0,0,0,0,0,2,3710000
361,6020,3,1,1,1,0,0,0,0,0,0,2,3710000
362,4050,2,1,1,1,0,0,0,0,0,0,1,3710000
363,3584,2,1,1,1,0,0,1,0,0,0,2,3710000
364,3120,3,1,2,0,0,1,1,0,0,0,2,3703000
365,5450,2,1,1,1,0,0,0,0,0,0,1,3703000
366,3630,2,1,1,1,0,1,0,0,0,0,1,3675000
367,3630,2,1,1,1,0,0,0,1,0,0,3,3675000
368,5640,2,1,1,0,0,0,0,0,0,0,2,3675000
369,3600,2,1,1,1,0,0,0,0,0,0,1,3675000
370,4280,2,1,1,1,0,0,0,1,2,0,2,3640000
371,3570,3,1,2,1,0,1,0,0,0,0,2,3640000
372,3180,3,1,2,0,0,1,0,0,0,0,2,3640000
373,3000,2,1,2,1,0,0,0,1,0,0,1,3640000
374,3520,2,2,1,1,0,1,0,0,0,0,2,3640000
375,5960,3,1,2,1,1,1,0,0,0,0,3,3640000
376,4130,3,2,2,1,0,0,0,0,2,0,2,3640000
377,2850,3,2,2,0,0,1,0,0,0,1,3,3640000
378,2275,3,1,3,1,0,0,1,1,0,1,2,3640000
379,3520,3,1,1,1,0,0,0,0,2,1,3,3633000
380,4500,2,1,1,1,0,0,0,0,0,0,2,3605000
381,4000,2,1,1,1,0,0,0,0,0,1,2,3605000
382,3150,3,1,2,1,0,1,0,0,0,0,1,3570000
383,4500,4,2,2,1,0,1,0,0,2,0,1,3570000
384,4500,2,1,1,0,0,0,0,0,0,0,1,3570000
385,3640,2,1,1,1,0,0,0,0,0,0,3,3570000
386,3850,3,1,1,1,0,0,0,0,2,0,3,3535000
387,4240,3,1,2,1,0,0,0,1,0,0,2,3500000
388,3650,3,1,2,1,0,0,0,0,0,0,3,3500000
389,4600,4,1,2,1,0,0,0,0,0,0,2,3500000
390,2135,3,2,2,0,0,0,0,0,0,0,3,3500000
391,3036,3,1,2,1,0,1,0,0,0,0,2,3500000
392,3990,3,1,2,1,0,0,0,0,0,0,2,3500000
393,7424,3,1,1,0,0,0,0,0,0,0,3,3500000
394,3480,3,1,1,0,0,0,0,1,0,0,3,3500000
396,3640,2,1,1,1,0,0,0,0,1,0,2,3500000
397,5900,2,1,1,1,0,0,0,0,1,0,1,3500000
398,3120,3,1,2,1,0,0,0,0,1,0,3,3500000
399,7350,2,1,1,1,0,0,0,0,1,0,2,3500000
400,3512,2,1,1,1,0,0,0,0,1,1,3,3500000
401,9500,3,1,2,1,0,0,0,0,3,1,3,3500000
402,5880,2,1,1,1,0,0,0,0,0,0,3,3500000
403,12944,3,1,1,1,0,0,0,0,0,0,3,3500000
404,4900,3,1,2,0,0,0,0,0,0,0,3,3493000
405,3060,3,1,1,1,0,0,0,0,0,0,3,3465000
406,5320,2,1,1,1,0,0,0,0,1,1,3,3465000
407,2145,3,1,3,1,0,0,0,0,0,1,1,3465000
408,4000,2,1,1,1,0,0,0,0,0,0,3,3430000
409,3185,2,1,1,1,0,0,0,0,2,0,3,3430000
410,3850,3,1,1,1,0,0,0,0,0,0,3,3430000
411,2145,3,1,3,1,0,0,0,0,0,1,1,3430000
412,2610,3,1,2,1,0,1,0,0,0,1,3,3430000
413,1950,3,2,2,1,0,1,0,0,0,1,3,3430000
414,4040,2,1,1,1,0,0,0,0,0,0,3,3423000
415,4785,3,1,2,1,1,1,0,1,1,0,1,3395000
416,3450,3,1,1,1,0,1,0,0,2,0,3,3395000
417,3640,2,1,1,1,0,0,0,0,0,0,1,3395000
418,3500,4,1,2,1,0,0,0,1,2,0,3,3360000
419,4960,4,1,3,0,0,0,0,0,0,0,2,3360000
420,4120,2,1,2,1,0,0,0,0,0,0,3,3360000
421,4750,2,1,1,1,0,0,0,0,0,0,3,3360000
422,3720,2,1,1,0,0,0,0,1,0,0,3,3360000
423,3750,3,1,1,1,0,0,0,0,0,0,3,3360000
424,3100,3,1,2,0,0,1,0,0,0,0,2,3360000
425,3185,2,1,1,1,0,1,0,0,2,0,1,3360000
426,2700,3,1,1,0,0,0,0,0,0,0,1,3353000
427,2145,3,1,2,1,0,1,0,0,0,1,1,3332000
428,4040,2,1,1,1,0,0,0,0,1,0,3,3325000
429,4775,4,1,2,1,0,0,0,0,0,0,3,3325000
430,2500,2,1,1,0,0,0,0,1,0,0,3,3290000
431,3180,4,1,2,1,0,1,0,1,0,0,3,3290000
432,6060,3,1,1,1,1,1,0,0,0,0,1,3290000
433,3480,4,1,2,0,0,0,0,0,1,0,2,3290000
434,3792,4,1,2,1,0,0,0,0,0,0,2,3290000
435,4040,2,1,1,1,0,0,0,0,0,0,3,3290000
436,2145,3,1,2,1,0,1,0,0,0,1,1,3290000
437,5880,3,1,1,1,0,0,0,0,1,0,3,3290000
438,4500,2,1,1,0,0,0,0,0,0,0,2,3255000
439,3930,2,1,1,0,0,0,0,0,0,0,3,3255000
440,3640,4,1,2,1,0,1,0,0,0,0,3,3234000
441,4370,3,1,2,1,0,0,0,0,0,0,3,3220000
442,2684,2,1,1,1,0,0,0,1,1,0,3,3220000
443,4320,3,1,1,0,0,0,0,0,1,0,3,3220000
444,3120,3,1,2,0,0,0,0,0,0,0,1,3220000
445,3450,1,1,1,1,0,0,0,0,0,0,1,3150000
446,3986,2,2,1,0,1,1,0,0,1,0,3,3150000
447,3500,2,1,1,0,0,1,0,0,0,0,2,3150000
448,4095,2,1,1,1,0,0,0,0,2,0,2,3150000
449,1650,3,1,2,0,0,1,0,0,0,0,3,3150000
450,3450,3,1,2,1,0,1,0,0,0,0,2,3150000
451,6750,2,1,1,1,0,0,0,0,0,0,2,3150000
452,9000,3,1,2,1,0,0,0,0,2,0,2,3150000
453,3069,2,1,1,1,0,0,0,0,1,0,3,3150000
454,4500,3,1,2,1,0,0,0,1,0,0,3,3143000
455,5495,3,1,1,1,0,1,0,0,0,0,3,3129000
